"コンテンツID
※空欄で構いません。特定の値を設定したい場合に入力してください。",name,nameKana,is_amateur,image,birthDate,birthPlace,height,almaMater,affiliation,bio,related_video
,崎浜 ゆい,サキハマ ユイ,FLASE,,2008/05/06 0:00:00,沖縄県,166,日本ウェルネス高等学校,日本ウェルネス高等学校,,
,大橋 ありさ,オオハシ アリサ,FLASE,,1998/05/22 0:00:00,熊本県,153,熊本学園大学,熊本空港カントリークラブ,,
,園田 結莉亜,ソノダ ユリア,FLASE,,2001/07/11 0:00:00,大分県,156,東北福祉大学,フリー,,
,藤本 愛菜,フジモト アイナ,FLASE,,2007/02/23 0:00:00,福岡県,160,沖学園高校,ヤマエグループホールディングス,,
,長井 萌愛,ナガイ モア,FLASE,,2004/04/27 0:00:00,福岡県,157,沖学園,トライアルゴルフ＆リゾート ワカミヤコース,,
,塩澄 英香,シオズミ ハナカ,FLASE,,2001/09/21 0:00:00,福岡県,160,福岡大学,二丈カントリークラブ,,
,上原 和,ウエハラ イズミ,FLASE,,2002/04/22 0:00:00,沖縄県,168,開志国際高等学校,フリー,,
,岩崎 星乃,イワサキ ホシノ,FLASE,,2002/10/29 0:00:00,福岡県,157,沖学園,SUNGOLF&RESORT WAKAMIYA,,
,一松 紅実,イチマツ クルミ,FLASE,,1998/07/01 0:00:00,福岡県,159,沖学園,フリー,,
,池内 カナエ,イケウチ カナエ,FLASE,,1996/06/30 0:00:00,熊本県,156,大手前大学,熊本空港カントリークラブ,,
,橋口 星空,ハシグチ セイア,FLASE,,2003/05/05 0:00:00,鹿児島県,155,鹿児島城西,株式会社ジョイカルジャパン,,
,小潮川 せり,コシオカワ セリ,FLASE,,2005/10/25 0:00:00,沖縄,154,宜野座高校,チェリーヒルズ,,
,大内 瑞喜,オオウチ ミズキ,FLASE,,2003/08/21 0:00:00,佐賀県,160,明徳義塾高等学校,株式会社NSP,,
,佐藤 美優,サトウ ミユ,FLASE,,2001/08/12 0:00:00,福岡県,157,東北福祉大学,株式会社ライコム・コーポレーション,,
,林 瑚都,ハヤシ コト,FLASE,,2001/02/13 0:00:00,熊本県,162,専修大学,フリー,,
,赤瀬 新菜,アカセ ニイナ,FLASE,,2001/04/10 0:00:00,福岡県,158,九州国際大学付属高等学校,フリー,,
,脇元 桜,ワキモト サクラ,FLASE,,1999/05/03 0:00:00,宮崎県,166,宮崎日大高校,フリー,,
,小堀 未愛,コホリ ミア,FLASE,,2005/12/11 0:00:00,福岡県,155,沖学園,フリー,,
,河野 あずみ,コウノ アズミ,FLASE,,2001/07/24 0:00:00,長崎県,164,敬徳高校,フリー,,
,近藤 ななみ,コンドウ ナナミ,FLASE,,2001/01/08 0:00:00,福岡県,163,北九州市立,フリー,,
,上村 愛,カミムラ アイ,FLASE,,2004/11/13 0:00:00,鹿児島県,170,鹿児島城西高等学校,フリー,,
,島袋 ひの,シマブクロ ヒノ,FLASE,,2001/08/07 0:00:00,沖縄県,162,沖縄県宜野座高校,フリー,,
,佐渡山理莉,サドヤマ リリ,FLASE,,2000/05/05 0:00:00,沖縄県,158,沖縄県立名護高等学校,フリー,,
,仲西菜摘,ナカニシ ナツミ,FLASE,,1999/07/09 0:00:00,沖縄県,165,宜野座高校,フリー,,
,多田 文馨,タダ アヤカ,FLASE,,2002/05/03 0:00:00,福岡県,169,日本ウェルネス高等学校,フリー,,
,木村鈴菜,キムラ スズナ,FLASE,,2001/06/18 0:00:00,宮崎県,158,"日章学園高等学校""",フリー,,
,鍋島海良,ナベシマ カイラ,FLASE,,1999/06/12 0:00:00,熊本,155,熊本国府高校,フリー,,
,井元咲希,イモト サキ,FLASE,,2002/10/13 0:00:00,宮崎,168,日章学園高等学校,フリー,,
